Hs[m],Tp(P5-model) [s],Us(P5) [m/s],Tu(P5-model) [s],Tp(Mean-model) [s],Us(Mean) [m/s],Tu(Mean-model) [s],Tp(P95-model) [s],Us(P95) [m/s],Tu(P95-model) [s]
1.0,3.88,0.0,12.7,7.81,0.0,11.91,11.74,0.0,15.27
2.0,5.0,0.0,14.29,8.82,0.0,12.91,12.64,0.01,15.85
3.0,6.02,0.01,15.34,9.62,0.0,13.63,13.21,0.02,16.23
4.0,6.96,0.02,16.13,10.31,0.01,14.28,13.66,0.03,16.45
5.0,7.84,0.02,16.82,10.95,0.01,14.88,14.06,0.04,16.66
6.0,8.66,0.04,17.36,11.55,0.02,15.37,14.45,0.06,16.94
7.0,9.43,0.05,17.77,12.13,0.04,15.79,14.83,0.08,17.25
8.0,10.15,0.06,18.06,12.68,0.05,16.2,15.22,0.1,17.55
9.0,10.83,0.08,18.26,13.22,0.07,16.57,15.62,0.13,17.76
10.0,11.46,0.09,18.36,13.75,0.1,16.9,16.04,0.16,17.91
11.0,12.06,0.11,18.39,14.26,0.13,17.24,16.47,0.2,18.06
12.0,12.62,0.13,18.4,14.77,0.16,17.6,16.92,0.23,18.33
13.0,13.15,0.15,18.39,15.27,0.19,17.93,17.38,0.26,18.74
14.0,13.66,0.18,18.36,15.76,0.24,18.21,17.85,0.29,19.25
15.0,14.15,0.21,18.37,16.24,0.28,18.48,18.33,0.34,19.72
16.0,14.62,0.24,18.46,16.72,0.33,18.75,18.82,0.4,20.01
17.0,15.08,0.27,18.57,17.19,0.38,19.08,19.31,0.48,20.14
18.0,15.52,0.32,18.65,17.66,0.43,19.49,19.81,0.55,20.2
19.0,15.95,0.36,18.72,18.13,0.49,19.92,20.31,0.58,20.27
20.0,16.38,0.41,18.82,18.59,0.55,20.25,20.81,0.6,20.41
