Direction,a1,a2,a3,b1,b2,b3
0°,1.391,0.579,0.36,0.005,0.081,0.318
30°,1.122,0.849,0.36,0.005,0.053,0.226
60°,1.216,0.747,0.36,0.005,0.014,-0.564
90°,1.147,0.799,0.36,0.005,0.059,0.144
120°,1.349,0.62,0.36,0.005,0.052,0.015
150°,1.458,0.482,0.36,0.005,0.107,0.524
180°,1.339,0.531,0.36,0.005,0.118,0.605
210°,1.36,0.54,0.36,0.005,0.225,0.707
240°,1.631,0.409,0.36,0.005,0.257,0.639
270°,1.784,0.357,0.36,0.005,0.188,0.495
300°,1.742,0.407,0.36,0.005,0.109,0.392
330°,1.553,0.516,0.36,0.005,0.082,0.376
Omni,1.537,0.473,0.36,0.005,0.122,0.391
