Hs[m],Tp(P5-model) [s],Us(P5) [m/s],Tu(P5-model) [s],Tp(Mean-model) [s],Us(Mean) [m/s],Tu(Mean-model) [s],Tp(P95-model) [s],Us(P95) [m/s],Tu(P95-model) [s]
1.0,3.89,0.0,7.26,7.8,0.0,11.55,11.72,0.0,14.61
2.0,5.02,0.0,8.62,8.81,0.0,12.49,12.6,0.01,15.14
3.0,6.05,0.0,9.76,9.61,0.0,13.26,13.17,0.02,15.57
4.0,7.0,0.0,10.75,10.31,0.01,13.9,13.62,0.03,15.78
5.0,7.89,0.0,11.63,10.95,0.01,14.48,14.02,0.05,15.97
6.0,8.71,0.0,12.4,11.56,0.02,14.97,14.4,0.07,16.77
7.0,9.49,0.0,13.06,12.14,0.03,15.38,14.79,0.09,17.48
8.0,10.21,0.01,13.6,12.7,0.05,15.77,15.18,0.12,17.9
9.0,10.89,0.02,14.07,13.24,0.07,16.15,15.59,0.15,18.22
10.0,11.52,0.03,14.51,13.77,0.09,16.51,16.02,0.18,18.52
11.0,12.12,0.05,14.81,14.29,0.12,16.87,16.46,0.21,18.81
12.0,12.68,0.07,15.22,14.8,0.15,17.26,16.92,0.26,19.13
13.0,13.21,0.09,15.62,15.3,0.19,17.61,17.39,0.3,19.49
14.0,13.72,0.12,15.86,15.79,0.24,17.88,17.87,0.35,19.87
15.0,14.21,0.16,16.14,16.28,0.29,18.13,18.36,0.41,20.26
16.0,14.68,0.19,16.59,16.76,0.34,18.44,18.85,0.47,20.63
17.0,15.13,0.23,17.05,17.24,0.38,18.87,19.35,0.54,20.97
18.0,15.57,0.28,17.36,17.71,0.44,19.36,19.85,0.61,21.28
19.0,16.01,0.35,17.52,18.18,0.51,19.84,20.36,0.68,21.59
20.0,16.43,0.41,17.68,18.65,0.59,20.24,20.86,0.75,21.91
