,Month,Annual prob.,Shape,Scale,Location,Return period: 1 [years],Return period: 10 [years],Return period: 100 [years]
0,-,%,-,°C,°C,°C,°C,°C
1,Jan,8.33,-,0.772,8.25,7.15,10.0,11.82
2,Feb,8.33,-,1.132,7.5,5.88,10.06,12.72
3,Mar,8.33,-,0.796,7.47,6.33,9.28,11.15
4,Apr,8.33,-,0.816,8.14,6.98,9.99,11.91
5,May,8.33,-,0.903,10.59,9.3,12.64,14.76
6,Jun,8.33,-,1.039,12.8,11.31,15.15,17.59
7,Jul,8.33,-,1.326,14.95,13.05,17.96,21.07
8,Aug,8.33,-,1.383,15.5,13.52,18.64,21.89
9,Sept,8.33,-,1.195,14.15,12.44,16.86,19.67
10,Oct,8.33,-,0.781,12.28,11.16,14.05,15.88
11,Nov,8.33,-,0.77,10.35,9.25,12.09,13.9
12,Dec,8.33,-,0.827,9.15,7.97,11.03,12.97
13,Year,100.0,-,1.44,15.78,13.72,19.05,22.43
