T2m-level,JAN,FEB,MAR,MAY,APR,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Year
<-7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
<-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
<-6.5,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
<-6.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01
<-5.5,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01
<-5.0,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01
<-4.5,0.07,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02
<-4.0,0.1,0.18,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03
<-3.5,0.17,0.29,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05
<-3.0,0.28,0.37,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.06
<-2.5,0.4,0.49,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09
<-2.0,0.58,0.71,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.13
<-1.5,0.68,0.82,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.23,0.16
<-1.0,0.89,1.09,0.37,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.4,0.24
<-0.5,1.25,1.67,0.54,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.6,0.35
<0.0,1.64,2.46,0.83,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.93,0.51
<0.5,2.62,3.78,1.51,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.28,1.54,0.82
<1.0,4.13,5.91,2.67,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.37,2.45,1.31
<1.5,6.14,9.07,4.14,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.48,3.57,1.98
<2.0,8.83,13.04,6.81,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.85,5.28,2.98
<2.5,12.38,17.71,10.71,2.05,0.01,0.0,0.0,0.0,0.0,0.0,1.39,7.49,4.31
<3.0,17.18,23.05,15.61,3.99,0.05,0.0,0.0,0.0,0.0,0.01,2.18,10.66,6.06
<3.5,22.64,28.64,21.85,7.12,0.15,0.0,0.0,0.0,0.0,0.02,3.54,14.98,8.24
<4.0,28.5,35.11,28.77,11.29,0.47,0.0,0.0,0.0,0.0,0.09,5.32,19.68,10.77
<4.5,35.15,41.92,36.5,16.44,1.14,0.0,0.0,0.0,0.0,0.43,7.72,24.66,13.66
<5.0,42.36,49.85,45.25,22.9,2.54,0.0,0.0,0.0,0.0,0.95,11.24,30.13,17.1
<5.5,49.37,57.79,54.83,31.52,4.8,0.01,0.0,0.0,0.0,1.76,15.87,35.97,20.99
<6.0,58.02,66.62,65.23,42.17,8.06,0.12,0.0,0.0,0.01,2.81,21.17,42.92,25.59
<6.5,66.66,75.73,76.07,55.42,12.72,0.21,0.0,0.0,0.03,4.59,27.62,50.77,30.82
<7.0,75.81,84.6,86.6,71.33,19.75,0.49,0.0,0.0,0.06,6.72,34.51,59.54,36.62
<7.5,84.58,91.51,93.87,84.77,30.67,1.08,0.01,0.0,0.25,9.42,42.08,68.57,42.23
<8.0,91.79,96.51,97.93,93.26,44.6,2.62,0.03,0.0,0.78,13.46,50.73,78.19,47.49
<8.5,96.79,98.95,99.62,97.34,60.31,5.77,0.05,0.01,1.66,18.8,60.38,87.27,52.25
