Hs[m],Tp(P5-model) [s],Us(P5) [m/s],Tu(P5-model) [s],Tp(Mean-model) [s],Us(Mean) [m/s],Tu(Mean-model) [s],Tp(P95-model) [s],Us(P95) [m/s],Tu(P95-model) [s]
1.0,3.92,0.0,12.7,7.76,0.0,11.87,11.61,0.0,15.19
2.0,5.01,0.0,14.29,8.81,0.0,12.89,12.6,0.01,15.83
3.0,6.0,0.01,15.34,9.63,0.0,13.64,13.25,0.02,16.25
4.0,6.92,0.02,16.13,10.35,0.01,14.31,13.77,0.03,16.49
5.0,7.79,0.03,16.82,11.01,0.02,14.9,14.22,0.05,16.74
6.0,8.61,0.04,17.37,11.63,0.03,15.39,14.64,0.06,17.07
7.0,9.39,0.05,17.78,12.22,0.04,15.82,15.05,0.08,17.4
8.0,10.12,0.06,18.07,12.79,0.06,16.25,15.47,0.11,17.66
9.0,10.81,0.08,18.27,13.35,0.08,16.63,15.89,0.14,17.82
10.0,11.46,0.09,18.36,13.89,0.1,16.98,16.32,0.17,17.95
11.0,12.08,0.11,18.36,14.42,0.13,17.35,16.76,0.2,18.17
12.0,12.67,0.13,18.35,14.95,0.16,17.72,17.22,0.23,18.53
13.0,13.23,0.15,18.31,15.46,0.2,18.05,17.69,0.26,19.02
14.0,13.77,0.18,18.25,15.97,0.25,18.31,18.17,0.3,19.53
15.0,14.29,0.21,18.27,16.47,0.3,18.53,18.66,0.35,19.89
16.0,14.78,0.24,18.38,16.97,0.34,18.83,19.16,0.43,20.07
17.0,15.26,0.28,18.49,17.46,0.39,19.23,19.66,0.5,20.15
18.0,15.73,0.32,18.58,17.95,0.44,19.7,20.17,0.55,20.22
19.0,16.19,0.37,18.67,18.43,0.5,20.11,20.68,0.56,20.33
20.0,16.63,0.42,18.86,18.91,0.58,20.34,21.19,0.57,20.54
