Hs,Entries,Min,5%,Mean,95%,Max
0-1,22535,2.4,4.5,7.6,12.3,22.2
1-2,67266,3.3,5.3,8.2,12.8,21.9
2-3,46844,4.4,6.3,9.1,13.2,19.9
3-4,26828,5.5,7.4,9.8,13.5,20.3
4-5,14054,6.4,8.3,10.4,13.7,20.4
5-6,6732,8.0,9.1,11.1,14.0,18.9
6-7,3384,8.8,10.0,11.7,14.3,19.0
7-8,1414,9.8,10.7,12.4,14.7,18.7
8-9,531,10.5,11.1,12.9,15.3,18.8
9-10,224,10.7,11.8,13.6,16.6,17.7
10-11,81,11.8,12.0,14.1,16.3,17.1
11-12,20,12.9,13.4,14.6,16.0,16.5
12-13,11,14.4,14.4,15.4,16.9,16.9
13-14,4,14.5,14.5,15.0,15.9,16.1
14-15,0,-,-,-,-,-
0-15,189928,2.4,5.5,9.0,13.3,22.2
