,Direction sector,Sector prob.,Shape,Scale,Location,Return period: 1 [years],Return period: 10 [years],Return period: 100 [years],Return period: 10000 [years]
0,-,%,-,m,m,m,m,m,m
1,0°,19.45,1.155,1.38,0.69,10.66,12.86,14.95,18.88
2,30°,0.81,1.362,0.954,0.51,6.76,7.56,8.32,9.78
3,60°,0.29,1.356,1.051,0.51,7.05,7.96,8.83,10.48
4,90°,0.26,1.481,1.151,0.53,6.63,7.41,8.15,9.53
5,120°,0.48,1.347,1.204,0.59,8.39,9.44,10.45,12.37
6,150°,6.82,1.589,2.976,0.41,10.66,12.86,14.95,18.88
7,180°,14.82,1.499,2.424,0.52,10.66,12.86,14.95,18.88
8,210°,10.18,1.552,2.466,0.32,10.66,12.86,14.95,18.88
9,240°,10.11,1.472,2.388,0.4,10.66,12.86,14.95,18.88
10,270°,11.55,1.319,2.206,0.43,10.66,12.86,14.95,18.88
11,300°,9.87,1.149,1.731,0.55,10.66,12.86,14.95,18.88
12,330°,15.36,1.149,1.782,0.59,10.66,12.86,14.95,18.88
13,Omni,100.0,1.293,2.037,0.51,10.66,12.86,14.95,18.88
