HS [1 years],TpL [1 years],TpH [1 years],HS [10 years],TpL [10 years],TpH [10 years],HS [100 years],TpL [100 years],TpH [100 years],HS [10000 years],TpL [10000 years],TpH [10000 years]
11.1,14.0,14.5,12.8,14.7,15.5,14.9,15.7,16.6,18.9,17.8,18.3
10.1,12.0,15.5,11.8,12.9,16.5,13.9,13.9,17.6,17.9,15.7,19.7
9.1,10.8,15.9,10.8,11.8,16.8,12.9,12.8,17.9,16.9,14.6,20.0
8.1,9.7,16.2,9.8,10.7,17.0,11.9,11.9,18.1,15.9,13.7,20.2
7.1,8.7,16.5,8.8,9.8,17.2,10.9,11.0,18.2,14.9,12.9,20.3
6.1,7.6,16.9,7.8,8.8,17.4,9.9,10.1,18.3,13.9,12.1,20.3
5.1,6.5,17.2,6.8,7.7,17.8,8.9,9.2,18.5,12.9,11.3,20.3
4.1,5.5,17.9,5.8,6.7,18.3,7.9,8.2,18.8,11.9,10.6,20.3
3.1,4.4,18.7,4.8,5.7,18.9,6.9,7.3,19.2,10.9,9.8,20.3
2.1,3.3,19.9,3.8,4.7,19.9,5.9,6.3,19.9,9.9,9.0,20.4
