Month,Annual prob.[%],H_s [1 years],T_p [1 years],H_s [10 years],T_p [10 years],H_s [100 years],T_p [100 years],H_s [10000 years],T_p [10000 years]
Jan,8.33,9.97,13.07,11.69,13.65,13.67,14.27,17.22,15.31
Feb,8.33,8.89,12.81,10.41,13.37,12.15,13.99,15.22,14.99
Mar,8.33,8.37,12.49,9.83,13.07,11.49,13.69,14.47,14.71
Apr,8.33,7.43,12.83,9.09,13.75,11.09,14.81,14.87,16.67
May,8.33,5.73,11.09,6.97,11.83,8.45,12.65,11.23,14.09
Jun,8.33,5.07,9.95,6.17,10.47,7.49,11.05,9.93,12.03
Jul,8.33,4.63,9.75,5.65,10.35,6.85,11.01,9.15,12.19
Aug,8.33,5.15,10.21,6.33,10.85,7.77,11.59,10.51,12.91
Sept,8.33,7.27,12.09,8.89,12.97,10.81,13.95,14.43,15.71
Oct,8.33,8.11,13.01,9.65,13.85,11.41,14.75,14.61,16.33
Nov,8.33,8.63,12.77,10.11,13.37,11.83,14.03,14.87,15.11
Dec,8.33,9.63,13.37,11.31,14.03,13.23,14.75,16.66,15.93
Year,100.0,11.09,14.45,12.83,15.37,14.93,16.43,18.86,18.35
