,Month,Annual prob.,Shape,Scale,Location,Threshold,Events,Return period: 1 [years],Return period: 10 [years],Return period: 100 [years],Return period: 10000 [years]
0,-,%,-,m/s,m/s,m/s,1/year,m/s,m/s,m/s,m/s
1,Jan,8.33,2.449,0.097,0.47,0.5,11.1,0.68,0.71,0.73,0.77
2,Feb,8.33,3.602,0.072,0.43,0.45,7.5,0.55,0.56,0.57,0.58
3,Mar,8.33,1.892,0.106,0.46,0.51,9.2,0.74,0.79,0.83,0.9
4,Apr,8.33,3.602,0.09,0.35,0.39,9.3,0.51,0.52,0.53,0.55
5,May,8.33,3.602,0.018,0.36,0.35,7.4,0.39,0.39,0.39,0.4
6,Jun,8.33,0.674,0.0,0.41,0.35,8.3,0.41,0.41,0.41,0.41
7,Jul,8.33,3.602,0.036,0.33,0.31,10.2,0.39,0.39,0.4,0.41
8,Aug,8.33,0.674,0.0,0.59,0.48,7.4,0.59,0.59,0.59,0.59
9,Sept,8.33,0.674,0.0,0.52,0.44,8.3,0.52,0.52,0.52,0.52
10,Oct,8.33,3.602,0.18,0.33,0.43,9.2,0.63,0.66,0.68,0.71
11,Nov,8.33,1.969,0.066,0.41,0.43,7.4,0.58,0.61,0.63,0.67
12,Dec,8.33,3.602,0.018,0.38,0.38,10.2,0.41,0.41,0.41,0.42
13,Year,100.0,1.751,0.087,0.45,0.45,45.7,0.74,0.79,0.83,0.9
