HS-level,0°,30°,60°,90°,120°,150°,180°,210°,240°,270°,300°,330°,Omni
<0.5,0.31,0.02,0.01,0.0,0.01,0.04,0.13,0.16,0.19,0.27,0.23,0.25,1.62
<1.0,3.58,0.29,0.09,0.07,0.11,0.49,1.29,1.37,1.42,1.98,2.06,2.74,15.5
<1.5,8.11,0.55,0.18,0.14,0.25,1.34,3.54,3.02,2.94,3.9,4.07,5.9,33.94
<2.0,11.99,0.68,0.24,0.2,0.36,2.26,5.97,4.59,4.43,5.56,5.61,8.43,50.3
<2.5,14.69,0.76,0.27,0.24,0.42,3.13,8.06,5.94,5.77,7.07,6.83,10.39,63.56
<3.0,16.5,0.79,0.28,0.25,0.45,3.89,9.81,7.03,6.92,8.25,7.75,11.87,73.78
<3.5,17.63,0.8,0.29,0.25,0.46,4.54,11.18,7.93,7.84,9.18,8.39,12.89,81.39
<4.0,18.37,0.8,0.29,0.26,0.48,5.11,12.22,8.66,8.56,9.88,8.84,13.59,87.05
<4.5,18.79,0.81,0.29,0.26,0.48,5.56,13.01,9.16,9.09,10.4,9.15,14.11,91.11
<5.0,19.04,0.81,0.29,0.26,0.48,5.92,13.64,9.49,9.43,10.73,9.38,14.46,93.93
<5.5,19.19,0.81,0.29,0.26,0.48,6.17,14.07,9.72,9.67,10.99,9.53,14.72,95.89
<6.0,19.29,0.81,0.29,0.26,0.48,6.37,14.34,9.9,9.83,11.15,9.63,14.91,97.26
<6.5,19.34,0.81,0.29,0.26,0.48,6.52,14.53,10.03,9.94,11.29,9.71,15.06,98.25
<7.0,19.38,0.81,0.29,0.26,0.48,6.62,14.63,10.11,10.0,11.39,9.76,15.16,98.9
<7.5,19.41,0.81,0.29,0.26,0.48,6.69,14.71,10.15,10.04,11.45,9.79,15.23,99.31
<8.0,19.42,0.81,0.29,0.26,0.48,6.74,14.75,10.17,10.07,11.49,9.82,15.28,99.58
<8.5,19.44,0.81,0.29,0.26,0.48,6.77,14.78,10.18,10.08,11.51,9.84,15.31,99.74
<9.0,19.44,0.81,0.29,0.26,0.48,6.79,14.8,10.18,10.1,11.52,9.85,15.32,99.84
<9.5,19.44,0.81,0.29,0.26,0.48,6.81,14.81,10.18,10.1,11.53,9.86,15.33,99.9
<10.0,19.45,0.81,0.29,0.26,0.48,6.82,14.81,10.18,10.11,11.54,9.86,15.35,99.95
<10.5,19.45,0.81,0.29,0.26,0.48,6.82,14.82,10.18,10.11,11.54,9.86,15.35,99.97
<11.0,19.45,0.81,0.29,0.26,0.48,6.82,14.82,10.18,10.11,11.54,9.86,15.35,99.98
<11.5,19.45,0.81,0.29,0.26,0.48,6.82,14.82,10.18,10.11,11.54,9.86,15.36,99.99
<12.0,19.45,0.81,0.29,0.26,0.48,6.82,14.82,10.18,10.11,11.54,9.86,15.36,99.99
<12.5,19.45,0.81,0.29,0.26,0.48,6.82,14.82,10.18,10.11,11.54,9.87,15.36,100.0
<13.0,19.45,0.81,0.29,0.26,0.48,6.82,14.82,10.18,10.11,11.55,9.87,15.36,100.0
<13.5,19.45,0.81,0.29,0.26,0.48,6.82,14.82,10.18,10.11,11.55,9.87,15.36,100.0
<14.0,19.45,0.81,0.29,0.26,0.48,6.82,14.82,10.18,10.11,11.55,9.87,15.36,100.0
Mean,2.0,1.38,1.48,1.57,1.69,3.08,2.7,2.54,2.56,2.46,2.2,2.28,2.4
P50,1.7,1.2,1.3,1.5,1.5,2.7,2.4,2.2,2.3,2.1,1.8,1.9,2.0
P75,2.5,1.7,1.8,2.0,2.1,4.1,3.5,3.4,3.4,3.3,2.8,2.9,3.1
P95,4.2,2.6,2.8,2.8,3.4,6.4,5.6,5.4,5.4,5.5,5.0,5.3,5.3
P99,5.9,3.4,3.8,3.9,4.2,8.2,7.3,6.8,7.1,7.4,7.2,7.4,7.2
Maximum,11.8,4.8,4.7,4.9,6.1,10.9,10.3,12.5,11.3,13.9,13.4,13.0,13.9
