index,LS_slope,LS_intercept,LS_r_square,TS_slope,TS_intercept,TS_slope_lower,TS_slope_upper
Jan,0.086,-159.001,0.132,0.09,-167.611,-0.012,0.195
Feb,-0.052,111.875,0.068,-0.061,129.943,-0.133,0.05
Mar,0.06,-107.96,0.077,0.067,-122.741,-0.022,0.165
Apr,-0.006,19.059,0.001,-0.006,20.198,-0.11,0.094
May,-0.062,128.803,0.186,-0.062,128.233,-0.131,0.001
Jun,0.009,-10.109,0.007,0.016,-24.417,-0.049,0.067
Jul,-0.029,63.998,0.064,-0.02,45.572,-0.079,0.031
Aug,0.016,-24.113,0.014,0.022,-35.765,-0.048,0.079
Sep,0.085,-159.443,0.255,0.095,-178.202,0.003,0.159
Oct,0.041,-70.81,0.044,0.037,-64.575,-0.056,0.121
Nov,0.055,-99.15,0.112,0.044,-77.101,0.007,0.121
Dec,0.02,-27.884,0.012,0.03,-48.163,-0.057,0.124
Year,0.019,-28.557,0.13,0.028,-47.411,-0.003,0.047
