z,Mean,Std.dev,P5,P10,P50,P90,P95,P99,Max,Dir. Max Event,Time Max Event
[m],[m/s],[m/s],[m/s],[m/s],[m/s],[m/s],[m/s],[m/s],[m/s],[°],YYYY-MM-DD hh:mm:ss
0.0,0.17,0.1,0.04,0.06,0.16,0.31,0.36,0.45,0.63,328.43,2018-03-24 12:00:00
1.0,0.17,0.1,0.04,0.06,0.16,0.31,0.36,0.45,0.63,328.43,2018-03-24 12:00:00
2.5,0.17,0.1,0.04,0.06,0.16,0.31,0.36,0.45,0.63,328.58,2018-03-24 12:00:00
5.0,0.17,0.1,0.04,0.06,0.16,0.31,0.36,0.45,0.62,329.07,2018-03-24 12:00:00
10.0,0.17,0.1,0.04,0.06,0.16,0.3,0.35,0.44,0.62,329.71,2018-03-24 12:00:00
15.0,0.17,0.09,0.04,0.06,0.15,0.3,0.35,0.44,0.61,330.17,2018-03-24 12:00:00
20.0,0.17,0.09,0.04,0.06,0.15,0.3,0.35,0.44,0.61,330.65,2018-03-24 12:00:00
25.0,0.17,0.09,0.04,0.06,0.15,0.29,0.34,0.43,0.6,331.02,2018-03-24 12:00:00
30.0,0.16,0.09,0.04,0.06,0.15,0.29,0.34,0.43,0.6,331.48,2018-03-24 12:00:00
40.0,0.16,0.09,0.04,0.05,0.14,0.28,0.33,0.43,0.58,332.67,2018-03-24 12:00:00
50.0,0.15,0.09,0.04,0.05,0.14,0.27,0.32,0.41,0.55,333.73,2018-03-24 12:00:00
75.0,0.14,0.08,0.03,0.05,0.12,0.25,0.3,0.39,0.53,14.3,2017-08-12 08:00:00
100.0,0.13,0.08,0.03,0.04,0.11,0.24,0.29,0.37,0.53,13.79,2017-08-12 08:00:00
150.0,0.13,0.08,0.03,0.04,0.11,0.23,0.28,0.35,0.5,13.88,2017-08-12 08:00:00
200.0,0.12,0.07,0.03,0.04,0.11,0.22,0.26,0.33,0.46,13.45,2017-08-12 08:00:00
