Direction,Hmax[m] [10 years],Hmax[m] [100 years],Hmax[m] [10000 years],T_Hmax(P5-model) [s] [10 years],T_Hmax(Mean-model) [s] [10 years],T_Hmax(P95-model) [s] [10 years],T_Hmax(P5-model) [s] [100 years],T_Hmax(Mean-model) [s] [100 years],T_Hmax(P95-model) [s] [100 years],T_Hmax(P5-model) [s] [10000 years],T_Hmax(Mean-model) [s] [10000 years],T_Hmax(P95-model) [s] [10000 years]
0°,21.53,25.23,32.33,10.81,12.92,15.02,11.81,13.81,15.81,13.5,15.46,17.42
30°,8.87,10.57,13.66,6.6,9.63,12.65,7.29,10.14,12.99,8.45,11.01,13.57
60°,8.91,10.96,14.75,6.58,9.62,12.65,7.37,10.2,13.03,8.67,11.18,13.69
90°,8.64,10.41,13.48,6.49,9.55,12.6,7.2,10.07,12.95,8.36,10.94,13.53
120°,10.81,13.08,17.19,7.31,10.16,13.0,8.16,10.79,13.42,9.56,11.87,14.19
150°,24.31,27.68,33.71,11.53,13.55,15.57,12.38,14.34,16.31,13.76,15.73,17.7
180°,22.98,26.08,31.73,11.18,13.24,15.3,11.99,13.98,15.96,13.34,15.29,17.25
210°,21.33,24.29,29.59,10.73,12.85,14.96,11.54,13.56,15.58,12.85,14.81,16.76
240°,22.5,25.79,31.77,11.04,13.12,15.19,11.9,13.9,15.89,13.32,15.28,17.23
270°,24.79,28.74,36.1,11.65,13.67,15.68,12.63,14.59,16.54,14.26,16.25,18.25
300°,24.72,28.64,35.91,11.65,13.67,15.68,12.63,14.59,16.54,14.26,16.25,18.25
330°,24.72,28.64,35.91,11.65,13.67,15.68,12.63,14.59,16.54,14.26,16.25,18.25
Omni,24.72,28.64,35.91,11.65,13.67,15.68,12.63,14.59,16.54,14.26,16.25,18.25
